MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C16H25N3O,train,NCC[C@H](NCc1ccccc1)C(=O)N1CCCCC1,1000000,3
C10H21N5O,train,NC(N)=NCC[C@H](N)C(=O)N1CCCCC1,545000,3.263603498
C22H28N4O3,train,N#C[C@@H]1CCCN1C(=O)CN[C@H]1C[C@H]2C[C@@H](OC(=O)Nc3ccccc3)C[C@H]2C1,121,6.91721463
C16H25N3O2,train,CO[C@H]1C[C@@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,27,7.568636236
C16H25N3O2,train,CO[C@H]1C[C@@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,27,7.568636236
C16H25FN4O2,train,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,5,8.301029996
C16H25FN4O3,train,CC(C)(CC(=O)N1CC[C@@H](O)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,30,7.522878745
C16H24F2N4O2,train,CC(C)(CC(=O)N1CC[C@@H](F)C1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,39,7.408935393
C16H25N3O2,train,CO[C@@H]1C[C@@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,8,8.096910013
C17H27N3O2,train,CCO[C@@H]1C[C@@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,59,7.229147988
C19H29N5O2,train,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCC3)C[C@@H]2C1,39,7.408935393
C20H31N5O2,train,N#C[C@@H]1CCCN1C(=O)CN[C@@H]1C[C@@H]2CN(C(=O)N3CCCCC3)C[C@@H]2C1,69,7.161150909
C18H28N4O3,train,CN(C)C(=O)O[C@@H]1C[C@@H]2C[C@H](NCC(=O)N3CCC[C@H]3C#N)C[C@@H]2C1,65,7.187086643
C22H26ClFN2O2,train,C#C[C@@H]1C[C@H](F)CN1C(=O)CC(C)(C)CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1,847,6.07211659
