ID,Cas NUMBER,SMILES,Experimental value,threshold_1,threshold_100
1,52918-63-5,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0015,1,1
2,131929-60-7,CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC,0.0029,1,1
3,80844-07-1,CCOc1ccc(cc1)C(C)(C)COCc1cccc(Oc2ccccc2)c1,0.0145,1,1
4,66841-24-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.023,1,1
5,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.024,1,1
6,23031-36-9,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,0.028,1,1
7,68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,0.037,1,1
8,91465-08-6,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.038,1,1
9,25311-71-1,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.049,1,1
10,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,0.063,1,1
11,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,0.07,1,1
12,105827-78-9,[O-][N+](=O)N=C1NCCN1Cc1ccc(Cl)nc1,0.078,1,1
13,66441-23-4,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.1,1,1
14,82-68-8,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.1,1,1
15,298-00-0,COP(=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,0.111,1,1
16,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.114,1,1
17,120116-88-3,CN(C)S(=O)(=O)n1c(nc(Cl)c1-c1ccc(C)cc1)C#N,0.118,1,1
18,141112-29-0,CS(=O)(=O)c1cc(ccc1C(=O)c1cnoc1C1CC1)C(F)(F)F,0.12,1,1
19,66841-25-6,CC1(C)C(C(Br)C(Br)(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.129,1,1
20,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0.139,1,1
21,1563-66-2,CNC(=O)Oc1cccc2CC(C)(C)Oc12,0.16,1,1
22,60-51-5,CNC(=O)CSP(=S)(OC)OC,0.16,1,1
23,16752-77-5,CNC(=O)ON=C(C)SC,0.16,1,1
24,56-38-2,CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,0.175,1,1
25,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.18,1,1
26,113136-77-9,OC(=O)C1(CC1)C(=O)Nc1ccc(Cl)cc1Cl,0.18,1,1
27,173584-44-6,COC(=O)N(C(=O)N1COC2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c1ccc(OC(F)(F)F)cc1,0.18,1,1
28,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0.2,1,1
29,950-37-8,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,0.236,1,1
